question,answer_llm,answer_baseline,answer_orig,document
"Is `Annotated[int, Field(ge=0)]` the direct equivalent for a custom `MyInt(ConstrainedInt)` type?","According to **Pydantic v2**, yes: a custom `MyInt(ConstrainedInt)` with `ge = 0` is replaced by:

```python
from typing import Annotated

from pydantic import Field

MyInt = Annotated[int, Field(ge=0)]
```

So `Annotated[int, Field(ge=0)]` is the direct migration pattern shown in the docs for `ConstrainedInt`.

Before:

```python
from pydantic import BaseModel, ConstrainedInt


class MyInt(ConstrainedInt):
    ge = 0


class Model(BaseModel):
    x: MyInt
```

After:

```python
from typing import Annotated

from pydantic import BaseModel, Field

MyInt = Annotated[int, Field(ge=0)]


class Model(BaseModel):
    x: MyInt
```

For `ConstrainedStr`, the docs say to use `StringConstraints` instead.","Not exactly, but it’s usually the **recommended modern replacement** in Pydantic v2.

### Short answer
- `MyInt(ConstrainedInt)` was the old “custom constrained type” style.
- `Annotated[int, Field(ge=0)]` expresses the same validation rule in a **field/type annotation** form.
- So it’s the closest direct equivalent for **“an int with `>= 0`”**.

### Important nuance
If your old custom type did more than just add constraints — for example:
- custom methods,
- custom schema behavior,
- custom serialization,
- reusable domain-specific type semantics,

then `Annotated[int, Field(ge=0)]` is **not a full equivalent**, only a validation equivalent.

### Pydantic v2 style
Instead of:

```python
class MyInt(ConstrainedInt):
    ge = 0
```

you’d typically write:

```python
from typing import Annotated
from pydantic import Field

MyInt = Annotated[int, Field(ge=0)]
```

or directly in a model:

```python
class Model(BaseModel):
    x: Annotated[int, Field(ge=0)]
```

### If you want a reusable named type
Use a type alias:

```python
MyInt = Annotated[int, Field(ge=0)]
```

That’s the usual drop-in approach.

If you want, I can also show the exact migration pattern from `ConstrainedInt` to Pydantic v2.","### Constrained types

The `Constrained*` classes were *removed*, and you should replace them by `Annotated[, Field(...)]`, for example:

```python {test=""skip""}
from pydantic import BaseModel, ConstrainedInt


class MyInt(ConstrainedInt):
    ge = 0


class Model(BaseModel):
    x: MyInt
```

...becomes:

```python
from typing import Annotated

from pydantic import BaseModel, Field

MyInt = Annotated[int, Field(ge=0)]


class Model(BaseModel):
    x: MyInt
```

Read more about it in the [Composing types via `Annotated`](concepts/types.md#using-the-annotated-pattern)
docs.

For `ConstrainedStr` you can use [`StringConstraints`][pydantic.types.StringConstraints] instead.",pydantic-v2-migration-0655
"In Pydantic v2, are the old `Constrained*` base classes still supported anywhere, or must they all be removed?","According to **Pydantic v2**, the old `Constrained*` classes were **removed**. The migration guide says to replace them with `Annotated[..., Field(...)]` patterns.

Example from the guide:

**Before (v1-style):**
```python
from pydantic import BaseModel, ConstrainedInt


class MyInt(ConstrainedInt):
    ge = 0


class Model(BaseModel):
    x: MyInt
```

**After (v2):**
```python
from typing import Annotated

from pydantic import BaseModel, Field

MyInt = Annotated[int, Field(ge=0)]


class Model(BaseModel):
    x: MyInt
```

For `ConstrainedStr`, the guide says to use `StringConstraints` instead.

So, based on the retrieved Pydantic v2 documentation, they should be removed rather than kept. I don’t have enough information in the migration guides to say whether any specific `Constrained*` subclasses are still supported in some limited compatibility layer.","In **Pydantic v2**, the old `Constrained*` base classes are **not the preferred approach anymore**, but they are **still partially supported for compatibility**.

### Short answer
- **You should migrate away from them**.
- They may still work in some cases, especially for **backward compatibility with existing code**.
- But in v2, the recommended way is to use **`Annotated` + `Field(...)`** or the new constraint helpers rather than subclassing `Constrained*` types.

### What changed
In v1, people commonly wrote things like:

```python
from pydantic import ConstrainedStr

class MyStr(ConstrainedStr):
    min_length = 3
```

In v2, the preferred equivalent is:

```python
from typing import Annotated
from pydantic import Field

MyStr = Annotated[str, Field(min_length=3)]
```

### Practical guidance
- If you have **existing code**, some `Constrained*` classes may still function, but they’re effectively **legacy/compatibility**.
- For **new code**, don’t use them.
- If you want to be future-proof, **replace all `Constrained*` subclasses** with `Annotated`/`Field`-based constraints.

### Rule of thumb
If you’re asking whether they are the right long-term solution in v2: **no**.  
If you’re asking whether you must immediately remove every reference for code to run: **not necessarily**, but you should plan to migrate.

If you want, I can also show the **v1 → v2 migration equivalents** for `ConstrainedStr`, `ConstrainedInt`, `ConstrainedDecimal`, etc.","### Constrained types

The `Constrained*` classes were *removed*, and you should replace them by `Annotated[, Field(...)]`, for example:

```python {test=""skip""}
from pydantic import BaseModel, ConstrainedInt


class MyInt(ConstrainedInt):
    ge = 0


class Model(BaseModel):
    x: MyInt
```

...becomes:

```python
from typing import Annotated

from pydantic import BaseModel, Field

MyInt = Annotated[int, Field(ge=0)]


class Model(BaseModel):
    x: MyInt
```

Read more about it in the [Composing types via `Annotated`](concepts/types.md#using-the-annotated-pattern)
docs.

For `ConstrainedStr` you can use [`StringConstraints`][pydantic.types.StringConstraints] instead.",pydantic-v2-migration-0655
What’s the migration path for a field typed as `x: MyInt` when `MyInt` used to inherit from `ConstrainedInt`?,"According to **Pydantic v2**, `ConstrainedInt` was removed. The migration path is to replace the constrained subclass with an `Annotated[int, Field(...)]` alias.

### Before
```python
from pydantic import BaseModel, ConstrainedInt


class MyInt(ConstrainedInt):
    ge = 0


class Model(BaseModel):
    x: MyInt
```

### After
```python
from typing import Annotated

from pydantic import BaseModel, Field

MyInt = Annotated[int, Field(ge=0)]


class Model(BaseModel):
    x: MyInt
```

So for a field typed as `x: MyInt`, you keep the field annotation the same, but redefine `MyInt` as an `Annotated` type alias instead of a `ConstrainedInt` subclass.

If your old constrained type was `ConstrainedStr`, Pydantic v2 says to use `StringConstraints` instead.","If `MyInt` used to inherit from `ConstrainedInt`, the migration path is usually:

1. **Replace the constrained subclass**
   ```py
   from pydantic import conint

   MyInt = conint(...)  # or annotate with annotated-types constraints
   ```

2. **Keep the field annotation as-is**
   ```py
   class Model(BaseModel):
       x: MyInt
   ```
   In other words, the field can still be typed as `x: MyInt`, but `MyInt` itself should become a type alias / `Annotated`-based constrained type rather than a subclass.

3. **Prefer `Annotated[int, ...]` for new code**
   ```py
   from typing import Annotated
   from annotated_types import Ge, Le

   MyInt = Annotated[int, Ge(0), Le(10)]
   ```
   This is the modern Pydantic v2-style replacement for constrained types.

### Why this change?
Pydantic v2 moved away from “constrained types as subclasses” toward **type aliases + `Annotated` metadata**. So if your old code relied on something like:

```py
class MyInt(ConstrainedInt):
    ge = 0
    le = 10
```

the equivalent migration is to define `MyInt` as:

```py
from typing import Annotated
from annotated_types import Ge, Le

MyInt = Annotated[int, Ge(0), Le(10)]
```

### If you need the old-style class name
If `MyInt` is used widely and you want minimal churn, you can keep the name but change it from a subclass to an alias:

```py
MyInt = Annotated[int, Ge(0), Le(10)]
```

That way existing annotations like `x: MyInt` continue to work.

If you want, I can show the exact migration for your specific `ConstrainedInt` definition.","### Constrained types

The `Constrained*` classes were *removed*, and you should replace them by `Annotated[, Field(...)]`, for example:

```python {test=""skip""}
from pydantic import BaseModel, ConstrainedInt


class MyInt(ConstrainedInt):
    ge = 0


class Model(BaseModel):
    x: MyInt
```

...becomes:

```python
from typing import Annotated

from pydantic import BaseModel, Field

MyInt = Annotated[int, Field(ge=0)]


class Model(BaseModel):
    x: MyInt
```

Read more about it in the [Composing types via `Annotated`](concepts/types.md#using-the-annotated-pattern)
docs.

For `ConstrainedStr` you can use [`StringConstraints`][pydantic.types.StringConstraints] instead.",pydantic-v2-migration-0655
"In Pydantic v1, if I switch a field from `Sequence[int]` to `Iterable[int]` for an infinite generator, will the generator still be consumed or stored as a list on the model?","According to **Pydantic v1**, switching a field from `Sequence[int]` to `Iterable[int]` for an infinite generator means:

- the generator **will not be consumed**
- it **will not be stored as a list** on the model

Pydantic v1 says that `Sequence` fields consume the generator and store it as a list, but `Iterable` fields only perform a simple check that the value is iterable and **won’t be consumed**. It also notes that **no validation of the iterable’s values is performed**.

### Before
```python
from typing import Sequence

class Model(BaseModel):
    f: Sequence[int]
```

This would consume the generator and store a list.

### After
```python
from typing import Iterable

class Model(BaseModel):
    f: Iterable[int]
```

This keeps the generator unconsumed.

If you want, I can also explain how this differs in **Pydantic v2**, where `Iterable` is lazily validated while iterating.","In **Pydantic v1**, `Iterable[int]` is treated differently from `Sequence[int]`:

- `Sequence[int]` will generally **validate by consuming/coercing** the input into a concrete sequence type.
- `Iterable[int]` is **not materialized into a list** by Pydantic; it’s typically **kept as an iterable/generator**.

So if you switch a field from:

```python
Sequence[int]
```

to:

```python
Iterable[int]
```

for an **infinite generator**, Pydantic v1 will **not try to turn it into a list**, which is important because a list conversion would never finish.

### Example

```python
from typing import Iterable
from pydantic import BaseModel

def gen():
    i = 0
    while True:
        yield i
        i += 1

class M(BaseModel):
    xs: Iterable[int]

m = M(xs=gen())
print(m.xs)  # still an iterable/generator-like object
```

### Caveat
With `Iterable[int]`, Pydantic validates that the object is iterable, but the **items may only be validated lazily when iterated**, not all up front.

So the short answer is:

- **No, it should not be consumed into a list**
- **Yes, it will be stored as an iterable/generator-like object**","### Infinite Generators

If you have a generator you can use `Sequence` as described above. In that case, the
generator will be consumed and stored on the model as a list and its values will be
validated with the sub-type of `Sequence` (e.g. `int` in `Sequence[int]`).

But if you have a generator that you don't want to be consumed, e.g. an infinite
generator or a remote data loader, you can define its type with `Iterable`:

{!.tmp_examples/types_infinite_generator.md!}

!!! warning
    `Iterable` fields only perform a simple check that the argument is iterable and
    won't be consumed.

    No validation of their values is performed as it cannot be done without consuming
    the iterable.

!!! tip
    If you want to validate the values of an infinite generator you can create a
    separate model and use it while consuming the generator, reporting the validation
    errors as appropriate.

    pydantic can't validate the values automatically for you because it would require
    consuming the infinite generator.

#### Validating the first value

You can create a [validator](validators.md) to validate the first value in an infinite generator and still not consume it entirely.

{!.tmp_examples/types_infinite_generator_validate_first.md!}",pydantic-v1-types-0327
"My `Iterable` field accepts a remote data loader, but the item types aren’t being checked. Is that expected, or should `Iterable[int]` validate each yielded value?","According to **Pydantic v1**, that is expected: `Iterable` fields only perform a simple check that the input is iterable and **won’t be consumed**, so **no validation of yielded values is performed**. If you need item validation, the v1 docs suggest using a separate model while consuming the generator, or a validator for the first value if that fits your case.

According to **Pydantic v2**, `Iterable[int]` **does validate items lazily**. Pydantic wraps the iterable in an internal iterator and validates each item **as you iterate** over it. It still won’t eagerly consume the whole iterable, which is why it’s recommended for infinite iterators or remote loaders.

### Before / after behavior

**Pydantic v1**
```python
from typing import Iterable
from pydantic import BaseModel

class Model(BaseModel):
    f: Iterable[int]

m = Model(f=remote_loader())  # iterable check only
```

**Pydantic v2**
```python
from collections.abc import Iterable
from pydantic import BaseModel

class Model(BaseModel):
    f: Iterable[int]

m = Model(f=[1, 2])  # validates fine
next(m.f)            # item validation happens when iterating
```

So the answer depends on your version:

- **v1:** item types are **not** checked for `Iterable`
- **v2:** `Iterable[int]` **does** validate each yielded value lazily

If you want, I can also show how to migrate a v1 `Iterable` field to v2 behavior safely.","In general, `Iterable[int]` should mean “an iterable whose yielded items are `int`”, but **whether each item is actually checked depends on the validation system you’re using**.

### In many libraries/frameworks
`Iterable[int]` is treated as a type hint for **elements**, and validation may be:

- **lazy**: items are checked only when iterated
- **partial**: only the iterable itself is checked, not every yielded value
- **unsupported for remote/lazy loaders**: the framework may accept the loader object without traversing it

So if a remote data loader is being accepted and the item types aren’t checked, that can be expected behavior in some implementations.

### What you should expect conceptually
If the system does validate contents, then `Iterable[int]` should reject non-`int` values yielded by the iterable. But for remote or generator-like sources, full validation often isn’t performed automatically because:

- it could require consuming the whole stream
- it may be infinite
- it may trigger expensive remote calls
- validation may need to stay non-destructive

### Practical rule
- If you need **eager validation**, convert to a concrete container first, e.g. `list[int]`
- If you need to support **lazy/remote iterables**, you may need to validate items manually as they are consumed

### Bottom line
Yes, it’s plausible and often expected that a remote loader passed as `Iterable[int]` is **not fully item-validated**. If you want strict checking of each yielded value, you’ll usually need a concrete collection type or explicit validation logic.

If you tell me which library/framework you’re using, I can say exactly whether this is intended behavior and how to force per-item validation.","### Infinite Generators

If you have a generator you can use `Sequence` as described above. In that case, the
generator will be consumed and stored on the model as a list and its values will be
validated with the sub-type of `Sequence` (e.g. `int` in `Sequence[int]`).

But if you have a generator that you don't want to be consumed, e.g. an infinite
generator or a remote data loader, you can define its type with `Iterable`:

{!.tmp_examples/types_infinite_generator.md!}

!!! warning
    `Iterable` fields only perform a simple check that the argument is iterable and
    won't be consumed.

    No validation of their values is performed as it cannot be done without consuming
    the iterable.

!!! tip
    If you want to validate the values of an infinite generator you can create a
    separate model and use it while consuming the generator, reporting the validation
    errors as appropriate.

    pydantic can't validate the values automatically for you because it would require
    consuming the infinite generator.

#### Validating the first value

You can create a [validator](validators.md) to validate the first value in an infinite generator and still not consume it entirely.

{!.tmp_examples/types_infinite_generator_validate_first.md!}",pydantic-v1-types-0327
"For an infinite generator field, can I use a validator to inspect only the first yielded item without exhausting the iterator?","According to **Pydantic v1**, yes — you can use a validator to inspect the **first yielded item** of an infinite generator **without consuming it entirely**.

The migration guide says:

- If you want to keep a generator from being consumed, use `Iterable`.
- `Iterable` fields are only checked to confirm the value is iterable; they are **not consumed**.
- Pydantic v1 also notes that you can create a **validator** to validate the **first value** in an infinite generator while still not exhausting it.

### Before
```python
from typing import Iterable
from pydantic import BaseModel

class Model(BaseModel):
    items: Iterable[int]
```

### After
Use a validator that checks the first item and then leaves the iterator intact. The guide references this pattern, but does not provide the exact implementation in the retrieved text.

### Important limitation
According to **Pydantic v1**, `Iterable` fields do **not** validate all yielded values automatically, because doing so would require consuming the generator.

So the answer is:

- **Yes**, you can inspect only the first yielded item with a validator.
- **No**, Pydantic will not validate the whole infinite iterator for you.

I don’t have enough information in the migration guides to show the exact validator implementation from the retrieved docs.","Yes.

If the field is backed by an infinite generator/iterator, a validator can inspect just the first yielded item as long as it **doesn’t consume the whole iterator**. The key is to call `next()` once and then stop.

Example pattern:

```python
def validate_first_item(gen):
    first = next(gen)  # inspect only one item
    if first != ""expected"":
        raise ValueError(""invalid first item"")
    return gen
```

A few important caveats:

- **Generators are stateful**: calling `next()` advances them, so the first item is consumed.
- If you need to keep the first item, you must **put it back** or wrap the generator.
- If you want to validate without losing anything, use `itertools.tee`, though it has memory tradeoffs:

```python
from itertools import tee

gen1, gen2 = tee(gen)
first = next(gen1)
# validate first
return gen2
```

If you’re using a framework like Pydantic, Django, Marshmallow, etc., the exact validator hook matters, but the general rule is the same: you can inspect one item without exhausting the iterator, but you will usually consume that item unless you duplicate the iterator first.

If you want, I can show the exact approach for your specific validator/framework.","### Infinite Generators

If you have a generator you can use `Sequence` as described above. In that case, the
generator will be consumed and stored on the model as a list and its values will be
validated with the sub-type of `Sequence` (e.g. `int` in `Sequence[int]`).

But if you have a generator that you don't want to be consumed, e.g. an infinite
generator or a remote data loader, you can define its type with `Iterable`:

{!.tmp_examples/types_infinite_generator.md!}

!!! warning
    `Iterable` fields only perform a simple check that the argument is iterable and
    won't be consumed.

    No validation of their values is performed as it cannot be done without consuming
    the iterable.

!!! tip
    If you want to validate the values of an infinite generator you can create a
    separate model and use it while consuming the generator, reporting the validation
    errors as appropriate.

    pydantic can't validate the values automatically for you because it would require
    consuming the infinite generator.

#### Validating the first value

You can create a [validator](validators.md) to validate the first value in an infinite generator and still not consume it entirely.

{!.tmp_examples/types_infinite_generator_validate_first.md!}",pydantic-v1-types-0327
"If I keep using `Sequence` with a generator input, does Pydantic validate the subtype and materialize the values before storing them?","According to **Pydantic v1**, yes: if you use `Sequence` with a generator input, Pydantic **consumes the generator**, **stores the values as a list on the model**, and **validates each value against the `Sequence` subtype**.

### Example
If you have `Sequence[int]`, the generator values are validated as `int` before being stored.

### Contrast with `Iterable`
If you do **not** want the generator to be consumed, use `Iterable` instead. According to Pydantic v1, `Iterable` fields only check that the input is iterable and **do not validate the yielded values**.

### Summary
- `Sequence` + generator: **consumed**, **materialized as list**, **subtype validated**
- `Iterable` + generator: **not consumed**, **no value validation**

If you want, I can also show the exact before/after code pattern from the v1 docs.","Not exactly.

In Pydantic, a field annotated as `Sequence[T]` is treated as a sequence-like container, but when you pass a **generator**:

- Pydantic will **consume** it during validation
- it will **validate each item against `T`**
- but the resulting stored value is typically **materialized into a concrete sequence type**, not kept as a generator

So in practice, yes, the generator is exhausted and the values are validated before being stored, but **the original generator itself is not preserved**.

Example:

```python
from typing import Sequence
from pydantic import BaseModel

class M(BaseModel):
    xs: Sequence[int]

m = M(xs=(x for x in range(3)))
print(m.xs)
```

Depending on the Pydantic version and input, you’ll usually get a concrete sequence such as a `list` or another sequence type, rather than a generator.

If your goal is to **preserve laziness**, `Sequence` is not the right annotation. You’d generally need to accept an iterator/iterable explicitly and handle it yourself, or use a custom type.

If you want, I can also explain the difference between `Sequence`, `Iterable`, and `Iterator` in Pydantic.","### Infinite Generators

If you have a generator you can use `Sequence` as described above. In that case, the
generator will be consumed and stored on the model as a list and its values will be
validated with the sub-type of `Sequence` (e.g. `int` in `Sequence[int]`).

But if you have a generator that you don't want to be consumed, e.g. an infinite
generator or a remote data loader, you can define its type with `Iterable`:

{!.tmp_examples/types_infinite_generator.md!}

!!! warning
    `Iterable` fields only perform a simple check that the argument is iterable and
    won't be consumed.

    No validation of their values is performed as it cannot be done without consuming
    the iterable.

!!! tip
    If you want to validate the values of an infinite generator you can create a
    separate model and use it while consuming the generator, reporting the validation
    errors as appropriate.

    pydantic can't validate the values automatically for you because it would require
    consuming the infinite generator.

#### Validating the first value

You can create a [validator](validators.md) to validate the first value in an infinite generator and still not consume it entirely.

{!.tmp_examples/types_infinite_generator_validate_first.md!}",pydantic-v1-types-0327
"What is the recommended pattern if I need full value validation for an infinite generator, given that `Iterable` won’t consume it?","According to **Pydantic v1**, `Iterable` fields are **not** fully value-validated because they are not consumed. The migration guide recommends this pattern instead:

- **Validate items while consuming the generator yourself**
- Use a **separate model** for the item type
- Report validation errors as appropriate during iteration

The docs also note that if you only need to validate the **first value**, you can use a **validator** for that without consuming the entire generator.

### Recommended pattern
If you need **full validation** of an infinite generator, Pydantic v1 says you should **not rely on `Iterable` to do it automatically**. Instead, validate each yielded item manually as you consume the generator.

### Example pattern
```python
from pydantic import BaseModel, ValidationError

class Item(BaseModel):
    x: int

def consume გენ(generator):
    for raw_item in generator:
        try:
            item = Item(**raw_item)
        except ValidationError as e:
            # handle/report validation error
            raise
        yield item
```

### Key point
Pydantic v1 explicitly says it **cannot validate all values automatically** for an infinite generator, because that would require consuming it.

If you want, I can also show how this differs in **Pydantic v2**, where `Iterable` items are lazily validated during iteration.","If you need **full validation of every produced value** from something infinite or lazily generated, the usual recommendation is:

### Don’t validate it as an `Iterable`
`Iterable` is intentionally lazy: it only promises that values can be pulled, not that they’ll all be consumed during validation. So a validator for `Iterable` generally should not exhaust the generator.

### Recommended pattern
Use a **custom validation strategy that explicitly consumes the generator**, usually one of these:

1. **Validate on iteration**
   - Wrap the generator and validate each item as it is yielded.
   - This is the most common pattern for infinite/lazy streams.

2. **Validate a bounded sample or prefix**
   - If the source is infinite, “full validation” is impossible in the mathematical sense.
   - Instead validate:
     - the first `N` items, or
     - items until a stopping condition, or
     - items as they are consumed in application logic.

3. **Convert to a concrete sequence first**
   - If you truly need exhaustive validation, materialize it into a `list`/`tuple`/other finite container first.
   - This only works if the source is actually finite or bounded.

### Practical rule
- **Infinite generator:** validate **per item during consumption**, not by trying to exhaust it.
- **Finite but lazy iterable:** consume it into a concrete collection if you need whole-structure validation.

If you’re working in a specific framework like **Pydantic**, the usual answer is to define a **custom validator** or use a **wrapper type** that validates each yielded element, because `Iterable` itself won’t force full traversal.","### Infinite Generators

If you have a generator you can use `Sequence` as described above. In that case, the
generator will be consumed and stored on the model as a list and its values will be
validated with the sub-type of `Sequence` (e.g. `int` in `Sequence[int]`).

But if you have a generator that you don't want to be consumed, e.g. an infinite
generator or a remote data loader, you can define its type with `Iterable`:

{!.tmp_examples/types_infinite_generator.md!}

!!! warning
    `Iterable` fields only perform a simple check that the argument is iterable and
    won't be consumed.

    No validation of their values is performed as it cannot be done without consuming
    the iterable.

!!! tip
    If you want to validate the values of an infinite generator you can create a
    separate model and use it while consuming the generator, reporting the validation
    errors as appropriate.

    pydantic can't validate the values automatically for you because it would require
    consuming the infinite generator.

#### Validating the first value

You can create a [validator](validators.md) to validate the first value in an infinite generator and still not consume it entirely.

{!.tmp_examples/types_infinite_generator_validate_first.md!}",pydantic-v1-types-0327
"In a `BaseModel` with `from __future__ import annotations`, why does `Foo.__annotations__` still show `'MyType'` instead of the evaluated type?","According to **Pydantic v2**, `from __future__ import annotations` means annotations are stored as **forward annotations** (string-like references) in `__annotations__`, so `Foo.__annotations__` can still show `'MyType'`.

Pydantic resolves those annotations **at model build time**, not by rewriting `__annotations__`. The docs say Pydantic evaluates annotations using its own runtime resolution logic, and if a forward reference can’t be resolved yet, it is kept as-is so the model can be rebuilt later with `model_rebuild()`.

### Example

```python
from __future__ import annotations
from pydantic import BaseModel

MyType = int

class Foo(BaseModel):
    f: MyType
```

Here, `Foo.__annotations__` may still contain the forward annotation form, but Pydantic will resolve it when building the model schema.

If the type is defined later, you can rebuild:

```python
class Foo(BaseModel):
    f: 'MyType'

type MyType = int

Foo.model_rebuild()
```

So the short answer is: **`__annotations__` reflects how Python stored the annotation, while Pydantic separately resolves it for validation/schema generation.**","Because `__future__.annotations` changes how Python **stores annotations**, not how every framework later interprets them.

### What happens
With:

```python
from __future__ import annotations
```

Python records annotations as **strings** in `__annotations__`:

```python
class Foo(BaseModel):
    x: MyType
```

becomes, at the language level, roughly:

```python
Foo.__annotations__ == {'x': 'MyType'}
```

So seeing `'MyType'` there is expected.

### Why Pydantic still works
`BaseModel` (Pydantic) doesn’t rely on `__annotations__` being already evaluated. It reads those string annotations and then resolves them itself using the module/class namespace.

### Important distinction
- `Foo.__annotations__` → raw annotations as Python stored them
- `Foo.model_fields` / Pydantic internals → resolved/evaluated types used for validation

### If you want evaluated types
Use `typing.get_type_hints()`:

```python
from typing import get_type_hints

get_type_hints(Foo)
```

That will return the resolved types instead of strings.

### In short
`__future__.annotations` intentionally keeps annotations as strings in `__annotations__`. Pydantic evaluates them separately when building the model.","!!! note
    This section is part of the *internals* documentation, and is partly targeted to contributors.

Pydantic heavily relies on [type hints][type hint] at runtime to build schemas for validation, serialization, etc.

While type hints were primarily introduced for static type checkers (such as [Mypy] or [Pyright]), they are
accessible (and sometimes evaluated) at runtime. This means that the following would fail at runtime,
because `Node` has yet to be defined in the current module:

```python {test=""skip"" lint=""skip""}
class Node:
    """"""Binary tree node.""""""

    # NameError: name 'Node' is not defined:
    def __init__(self, l: Node, r: Node) -> None:
        self.left = l
        self.right = r
```

To circumvent this issue, forward references can be used (by wrapping the annotation in quotes).

In Python 3.7, [PEP 563] introduced the concept of *postponed evaluation of annotations*, meaning
with the `from __future__ import annotations` [future statement], type hints are stringified by default:

```python {requires=""3.12"" lint=""skip""}
from __future__ import annotations

from pydantic import BaseModel


class Foo(BaseModel):
    f: MyType
    # Given the future import above, this is equivalent to:
    # f: 'MyType'


type MyType = int

print(Foo.__annotations__)
#> {'f': 'MyType'}
```",pydantic-v2-resolving_annotations-0690
"When can I rely on postponed evaluation of annotations in Pydantic, and do I still need to quote forward references manually?","According to **Pydantic v1** and **Pydantic v2**, postponed evaluation of annotations is supported, but the details differ a bit.

### When you can rely on it

- **Pydantic v1**: postponed annotations via `from __future__ import annotations` “just work” on **Python 3.7+**.
- **Pydantic v2**: Pydantic also works with postponed annotations, and the docs show this with `from __future__ import annotations` as well.

### Do you still need to quote forward references manually?

**Sometimes, yes.**

- **Pydantic v1** says that if a referenced type is not yet defined, you can use a `ForwardRef`, and for self-referencing models you can also use a string.
- **Pydantic v1** also says self-referencing fields are automatically resolved after model creation.
- **Pydantic v2** explains that forward references can be handled by wrapping the annotation in quotes, because runtime evaluation may need to resolve names later.

### Practical summary

#### Pydantic v1
You can often write:

```python
from __future__ import annotations

from pydantic import BaseModel


class Node(BaseModel):
    child: Node | None = None
```

Or, for self-references, use a string:

```python
from pydantic import BaseModel


class Node(BaseModel):
    child: 'Node | None' = None
```

If Pydantic cannot resolve a forward reference during model creation, you need to call `update_forward_refs()` after the model is created.

#### Pydantic v2
You can rely on postponed annotations too, but Pydantic still has to resolve them at runtime. If a name is not yet available, quoting the annotation is still a valid way to express a forward reference.

### Important limitation
According to **Pydantic v1**, resolution uses the module’s global namespace, so types not defined at module scope may not resolve well. In that case, the docs say to either remove the future import or declare the types globally.

If you want, I can also give you a **v1 vs v2 side-by-side example** for self-referencing models and forward refs.","In **Pydantic v2**, you can usually rely on postponed annotation evaluation **if your model module uses `from __future__ import annotations`** (Python 3.7+). In that case, annotations are stored as strings and Pydantic can resolve many forward references automatically.

### Short answer
- **Yes, you can often stop quoting forward references manually** when `from __future__ import annotations` is enabled.
- **No, you don’t always need quotes** even without the future import, but then you must use quotes for self-references or references to names not yet defined.
- **If Pydantic can’t resolve a reference at model creation time**, you may still need to call `model_rebuild()`.

### Examples

#### With postponed evaluation
```python
from __future__ import annotations
from pydantic import BaseModel

class Node(BaseModel):
    child: Node | None = None
```

No quotes needed.

#### Without postponed evaluation
```python
from pydantic import BaseModel

class Node(BaseModel):
    child: ""Node | None"" = None
```

Quotes are needed here because `Node` is not yet defined when Python evaluates the annotation.

### Important caveat
Even with postponed evaluation, Pydantic still needs the referenced symbols to be available when it resolves them. If you have cross-module or more complex forward references, you may need:

```python
Node.model_rebuild()
```

after all involved classes are defined/imported.

### Rule of thumb
- **Use `from __future__ import annotations`** in model files.
- **Don’t manually quote forward refs unless you’re not using postponed evaluation or you need compatibility with older code/styles.**
- **Call `model_rebuild()`** if a reference isn’t resolved automatically.

If you want, I can also show how this differs between **Pydantic v1 and v2**.","!!! note
    This section is part of the *internals* documentation, and is partly targeted to contributors.

Pydantic heavily relies on [type hints][type hint] at runtime to build schemas for validation, serialization, etc.

While type hints were primarily introduced for static type checkers (such as [Mypy] or [Pyright]), they are
accessible (and sometimes evaluated) at runtime. This means that the following would fail at runtime,
because `Node` has yet to be defined in the current module:

```python {test=""skip"" lint=""skip""}
class Node:
    """"""Binary tree node.""""""

    # NameError: name 'Node' is not defined:
    def __init__(self, l: Node, r: Node) -> None:
        self.left = l
        self.right = r
```

To circumvent this issue, forward references can be used (by wrapping the annotation in quotes).

In Python 3.7, [PEP 563] introduced the concept of *postponed evaluation of annotations*, meaning
with the `from __future__ import annotations` [future statement], type hints are stringified by default:

```python {requires=""3.12"" lint=""skip""}
from __future__ import annotations

from pydantic import BaseModel


class Foo(BaseModel):
    f: MyType
    # Given the future import above, this is equivalent to:
    # f: 'MyType'


type MyType = int

print(Foo.__annotations__)
#> {'f': 'MyType'}
```",pydantic-v2-resolving_annotations-0690
